Date,Store_ID,City,Product_ID,Product_Name,Category,Units_Sold,Price,Discount,Holiday,Season,Weather,Customer_Footfall,Marketing_Spend,Competitor_Price,Inventory_Level,Profit,Year,Month,Day,Weekday,Quarter,Profit_Margin,Inventory_Ratio,Marketing_Efficiency
2025-10-16,S103,3,P4657,Milk,2,197,467.46,37,0,0,2,115,2460.06,679.37,4239,25934.88,2025,10,16,3,4,0.2816234704468273,21.40909090909091,10.538093341893331
2025-12-19,S117,6,P5557,Shoes,1,114,1499.81,17,0,4,1,490,47903.44,1718.42,859,58526.94,2025,12,19,4,4,0.3423041637662188,7.469565217391304,1.2217435377597567
2024-09-27,S101,0,P7201,Football,4,79,8763.92,12,0,0,3,143,33401.9,10774.85,753,131584.45,2024,9,27,4,3,0.1900546266524935,9.4125,3.939312155531406
2025-04-09,S111,1,P4432,Bread,2,93,572.05,15,0,2,1,996,19593.32,771.83,4662,20284.64,2025,4,9,2,2,0.3812784001999938,49.59574468085106,1.0352306178525206
2024-11-19,S112,2,P6155,Smartphone,0,111,27609.96,16,0,4,1,555,37504.46,33253.34,4888,1011904.02,2024,11,19,1,4,0.33017974158021834,43.642857142857146,26.980178885954206
2024-05-21,S116,0,P2796,Laptop,0,206,24031.68,4,0,3,2,831,30198.53,24793.06,2159,1215289.25,2024,5,21,1,2,0.24548684016086625,10.429951690821255,40.24199217669944
2024-09-30,S110,8,P3591,Snacks,2,204,702.21,11,1,0,3,661,42241.8,790.81,1729,31693.78,2024,9,30,0,3,0.2212451861002274,8.434146341463414,0.7502764968231271
2025-06-27,S100,7,P1319,Snacks,2,152,920.53,3,0,1,1,211,5197.02,945.01,666,57574.87,2025,6,27,4,2,0.4114796175800213,4.352941176470588,11.076307901854937
2025-07-16,S105,2,P7932,Tennis Racket,4,131,9865.8,19,0,1,2,814,22466.9,12244.22,1091,556764.41,2025,7,16,2,3,0.43079189842812815,8.265151515151516,24.78043831421717
2025-07-21,S107,7,P2163,T-Shirt,1,287,1876.25,21,0,1,3,1102,12662.23,2495.4,1855,149233.5,2025,7,21,0,3,0.2771359820310603,6.440972222222222,11.784789504731416
2025-04-29,S113,4,P8062,Laptop,0,182,49894.86,3,1,2,3,174,20728.44,48958.21,995,3568210.64,2025,4,29,1,2,0.39293728468296935,5.437158469945355,172.13251491598425
2025-03-08,S105,2,P2235,Table,3,122,18713.0,0,0,2,3,534,9149.24,18632.39,1851,409264.37,2025,3,8,5,1,0.17926706109145607,15.048780487804878,44.72717327632937
2024-01-03,S112,2,P7930,Lamp,3,250,6283.14,13,0,4,3,1160,3986.92,6818.16,510,469892.3,2024,1,3,2,1,0.29914469571284696,2.0318725099601593,117.82891833336676
2024-06-10,S101,5,P2122,Smartphone,0,100,11820.95,15,0,1,3,217,21542.02,14256.09,4382,200469.27,2024,6,10,0,2,0.16958797762618263,43.386138613861384,9.305532371970132
2024-11-17,S107,2,P5915,Table,3,137,2397.67,29,0,4,3,200,27344.09,3382.96,1185,61169.34,2024,11,17,6,4,0.18621835931909647,8.58695652173913,2.236940525703152
2024-06-10,S114,5,P9666,Juice,2,89,670.68,8,0,1,0,286,44595.92,782.02,1373,21815.28,2024,6,10,0,2,0.36546698760560964,15.255555555555556,0.48916561950914994
2024-12-17,S106,2,P5114,Dumbbell,4,61,11693.04,17,0,4,3,57,17344.27,12527.7,2245,162363.41,2024,12,17,1,4,0.22763041213025345,36.20967741935484,9.360673543853743
2025-03-13,S117,3,P3442,Laptop,0,183,49732.15,35,0,2,1,930,7244.83,72109.9,426,3129795.53,2025,3,13,3,1,0.34389637156230934,2.3152173913043477,431.9443776627384
2025-02-20,S119,1,P3900,Jeans,1,102,520.22,26,0,4,1,596,8800.69,745.45,3233,20701.15,2025,2,20,3,1,0.3901207686497521,31.388349514563107,2.3519517274523416
2024-12-24,S109,4,P4164,T-Shirt,1,127,2646.87,17,0,4,0,1093,20584.24,3649.32,4492,139636.9,2024,12,24,1,4,0.41539625246788303,35.09375,6.783350594892262
2024-07-01,S118,2,P8119,Laptop,0,191,38234.84,24,0,1,1,571,3174.94,49343.94,4359,2341373.86,2024,7,1,0,3,0.3206107363395927,22.703125,737.2223215803824
2024-12-04,S119,9,P9308,Tablet,0,159,37341.16,18,0,4,1,442,21601.87,51553.98,1525,2135716.11,2024,12,4,2,4,0.3597149775233142,9.53125,98.86260992173725
2024-01-01,S109,2,P6279,Shoes,1,84,2883.3,30,0,4,1,223,14905.53,4321.47,2845,92666.54,2024,1,1,0,1,0.3826062291131808,33.470588235294116,6.216506457237196
2024-01-26,S101,4,P2193,Sofa,3,169,15095.88,24,0,4,2,868,12955.24,20792.93,145,1013424.85,2024,1,26,4,1,0.3972338409596546,0.8529411764705882,78.21905506535846
2025-06-14,S114,3,P2988,Cricket Bat,4,296,7662.79,33,0,1,0,956,31019.96,12189.35,4235,410173.21,2025,6,14,5,2,0.18083748779708114,14.25925925925926,13.22245378608528
2025-05-01,S114,2,P9540,Jacket,1,51,2016.38,18,0,3,1,606,17456.53,2748.94,760,39141.36,2025,5,1,3,2,0.38061783193846377,14.615384615384615,2.2420903759008293
2025-12-24,S106,8,P6421,Curtains,3,162,2249.6,26,0,4,2,90,42979.87,3282.22,3216,60925.37,2025,12,24,2,4,0.1671770532126062,19.73006134969325,1.4174996923049719
2025-02-03,S113,5,P4613,Tennis Racket,4,139,8371.44,1,0,4,2,738,33774.81,9212.33,1452,202631.66,2025,2,3,0,1,0.1741373615330136,10.371428571428572,5.999313117879335
2025-06-30,S100,6,P1444,Tennis Racket,4,172,3372.69,3,0,1,0,826,17040.28,3429.75,2864,130173.33,2025,6,30,0,2,0.2243966630240994,16.55491329479769,7.638706130055959
2024-09-15,S102,0,P1853,Smartwatch,0,163,49852.6,2,1,0,3,556,10768.67,43550.52,1348,2502244.78,2024,9,15,6,3,0.3079316440902573,8.21951219512195,232.34182477271818
2024-08-11,S114,2,P2876,Milk,2,296,129.6,19,0,1,2,862,47132.06,145.52,4950,14467.89,2024,8,11,6,3,0.3771352828014785,16.666666666666668,0.3069584279060176
2024-11-04,S119,8,P6688,Football,4,196,1107.72,32,0,4,0,75,42629.21,1786.52,964,56302.74,2024,11,4,0,4,0.2593232535958509,4.893401015228426,1.3207239654695577
2025-12-25,S104,6,P5425,Dress,1,307,2809.8,37,1,4,0,710,42733.94,4902.52,809,193963.68,2025,12,25,3,4,0.22485685297265412,2.6266233766233764,4.538761023181499
2025-11-15,S112,9,P6325,Headphones,0,162,24220.56,16,0,4,0,622,44135.68,30574.28,2363,1753729.75,2025,11,15,5,4,0.44695455121483174,14.496932515337424,39.73406586086674
2024-03-28,S107,6,P4937,Sofa,3,189,1283.3,18,0,2,1,878,34897.57,1474.01,4864,70513.13,2024,3,28,3,1,0.290722205020353,25.6,2.020516313419146
2025-07-17,S110,9,P6023,Lamp,3,135,6798.3,7,0,1,1,442,11602.85,7275.35,4929,335078.37,2025,7,17,3,3,0.36509999493337936,36.24264705882353,28.876482374384363
2024-07-17,S109,4,P5952,Milk,2,23,173.63,3,0,1,0,308,32255.61,192.57,940,1109.31,2024,7,17,2,3,0.2777100455877972,39.166666666666664,0.034390160652343814
2025-03-27,S110,1,P8827,Tablet,0,189,12769.92,36,1,2,3,360,8310.68,20329.15,2589,682006.42,2025,3,27,3,1,0.28257797085635916,13.626315789473685,82.05397946022946
2025-09-02,S119,4,P8381,Dumbbell,4,117,3521.92,36,0,0,3,253,47431.92,5020.59,1828,166013.79,2025,9,2,1,3,0.40288190493145704,15.491525423728813,3.499969852161748
2024-03-17,S105,3,P8699,Curtains,3,189,8560.8,18,0,2,2,195,34681.86,11767.69,4931,337882.35,2024,3,17,6,1,0.20882816987622066,25.95263157894737,9.74205558595802
2024-04-27,S117,4,P3330,Jacket,1,262,632.32,36,0,2,0,949,7093.33,1043.92,3397,50008.73,2024,4,27,5,2,0.30185960135895196,12.916349809885931,7.049112460232327
2024-02-10,S113,9,P1423,Yoga Mat,4,186,10017.81,1,0,4,0,132,38392.34,9132.98,4351,591287.2,2024,2,10,5,1,0.3173310069545672,23.267379679144383,15.400775238622115
2025-08-22,S113,0,P6700,Headphones,0,297,52670.7,10,1,1,0,893,34990.01,54804.76,3380,6626178.03,2025,8,22,4,3,0.4235820353853585,11.342281879194632,189.36801281243382
2024-04-28,S112,5,P8569,Smartwatch,0,185,36090.65,39,0,2,2,955,38239.54,53903.31,4599,1240183.47,2024,4,28,6,2,0.18574598762837652,24.725806451612904,32.43111812751598
2024-01-30,S119,4,P1224,Jacket,1,150,3573.06,7,0,4,2,290,32737.77,3443.17,2490,127760.04,2024,1,30,1,1,0.2383760728412568,16.490066225165563,3.902408062367645
2025-05-09,S115,4,P3369,Sofa,3,1490,16241.68,8,0,3,3,615,38861.08,19531.04,2884,2591728.03,2025,5,9,4,2,0.10709573845553937,1.9342723004694835,66.69040952002568
2025-08-24,S118,0,P9824,Shoes,1,284,2195.82,34,0,1,2,982,46709.76,3695.9,2056,120479.58,2025,8,24,6,3,0.19319579609100426,7.2140350877192985,2.579268245689002
2024-11-21,S115,6,P9115,Table,3,124,11165.32,6,0,4,2,254,26771.6,11724.52,1280,261282.93,2024,11,21,3,4,0.18871997231521764,10.24,9.75934089330136
2024-03-17,S115,2,P7512,Juice,2,109,737.6,20,0,2,2,1158,2759.06,802.63,2454,25712.1,2024,3,17,6,1,0.31980462540765225,22.30909090909091,9.315775744005565
2025-10-10,S103,0,P1474,Jacket,1,278,2462.46,22,0,0,0,932,8132.92,3186.52,4736,272099.9,2025,10,10,4,4,0.3974786144448427,16.974910394265233,33.45249277101324
2025-01-26,S119,4,P3344,Sofa,3,114,7830.48,16,0,4,3,1002,45159.26,9818.71,1394,148567.24,2025,1,26,6,1,0.16642912613328387,12.121739130434783,3.2897782253689414
2024-11-02,S113,2,P4263,Lamp,3,111,5614.08,36,0,4,0,655,49641.91,8233.13,3342,174623.51,2024,11,2,5,4,0.2802208465612609,29.839285714285715,3.5175921395421823
2024-02-20,S119,0,P6772,Milk,2,113,630.2,8,0,4,3,130,16137.71,672.84,4847,16399.7,2024,2,20,1,1,0.2302888774054394,42.51754385964912,1.0161716766705642
2024-10-29,S110,6,P3165,Jeans,1,128,3147.3,10,0,0,0,1036,48401.82,3282.08,2874,64912.74,2024,10,29,1,4,0.16113161198782489,22.27906976744186,1.3410941759178494
